ticker,timestamp,open,high,low,close,volume
MRK,2/27/15,60.5,61.06,57.73,58.54,199329666
MRK,1/30/15,57.22,63.62,57.025,60.28,231735688
MRK,12/31/14,60.4,62.2,56.56,56.79,229025205
MRK,11/28/14,57.95,60.87,57.57,60.4,179348956
MRK,10/31/14,59.09,60.51,52.49,57.94,301280165
MRK,9/30/14,59.73,61.33,58.55,59.28,192274534
MRK,8/29/14,56.6,60.58,55.57,60.11,149580824
MRK,7/31/14,57.7,59.65,56.72,56.74,159358303
MRK,6/30/14,57.91,59.32,57.24,57.85,184139900
MRK,5/30/14,58.55,59.84,54.4,57.86,207700100
MRK,4/30/14,56.65,59,54.7,58.56,231378100
MRK,3/31/14,56.1,57.65,53.57,56.77,236574500
MRK,2/28/14,52.91,57.455,51.92,56.99,237342400
MRK,1/31/14,49.88,54.1,49.3,52.97,313826100
MRK,12/31/13,49.74,50.42,47.61,50.05,211085000
MRK,11/29/13,44.87,49.95,44.62,49.83,258884700
MRK,10/31/13,48.92,49.23,45.08,45.09,356726300
MRK,9/30/13,47.52,48.71,47.013,47.609,293099200
MRK,8/30/13,48.44,48.85,46.47,47.29,214828900
MRK,7/31/13,46.26,49.08,46.03,48.17,253298600
MRK,6/28/13,48.93,50.16,46.06,46.45,472136600
MRK,5/31/13,44.8,48.64,44.6,46.7,427841200
MRK,4/30/13,44,48.79,43.77,47,308632200
MRK,3/28/13,42.33,45.42,42.33,44.2,385637800
MRK,2/28/13,42.24,43.45,40.825,42.73,323510800
MRK,1/31/13,41.86,43.77,40.94,43.25,290067700
MRK,12/31/12,44.47,45.49,40.02,40.94,263124000
MRK,11/30/12,45.75,46.55,42.36,44.3,240683900
MRK,10/31/12,44.97,48,44.97,45.63,214635900
MRK,9/28/12,43.14,45.7,42.87,45.095,222406300
MRK,8/31/12,44.45,44.79,42.61,43.05,234490400
MRK,7/31/12,41.25,45.17,41.06,44.17,350865700
MRK,6/29/12,37.18,41.75,37.02,41.75,398750800
MRK,5/31/12,38.94,39.5,37.02,37.58,257387500
MRK,4/30/12,38.3,39.46,37.77,39.24,261500900
MRK,3/30/12,38.15,39,36.91,38.4,370644100
MRK,2/29/12,38.55,39.01,37.78,38.17,249387800
MRK,1/31/12,37.88,39.43,37.81,38.27,283497600
MRK,12/30/11,35.73,37.9,34.86,37.7,374356600
MRK,11/30/11,33.81,36.25,33.13,35.75,330471300
MRK,10/31/11,32.59,35.5,30.54,34.5,366412200
MRK,9/30/11,33.05,33.49,30.71,32.7,369272200
MRK,8/31/11,34.25,34.29,29.47,33.095,509896300
MRK,7/29/11,35.17,36.56,34.05,34.13,240770100
MRK,6/30/11,36.6,36.75,34.365,35.29,256501900
MRK,5/31/11,36.44,37.65,36.07,36.75,294946000
MRK,4/29/11,33.05,36.25,33,35.95,308624500
MRK,3/31/11,32.6,33.48,31.06,33.01,403814500
MRK,2/28/11,33.34,34.04,31.85,32.57,308279300
MRK,1/31/11,36.29,37.6164,33,33.17,477954200
MRK,12/31/10,34.75,36.99,34.67,36.04,281068400
MRK,11/30/10,36.44,36.95,33.94,34.47,344612500
MRK,10/29/10,36.76,37.68,36.02,36.31,198449482
MRK,9/30/10,35.38,37.58,34.52,36.81,271490900
MRK,8/31/10,34.86,35.99,34.02,35.16,237706200
MRK,7/30/10,34.83,36.8,33.65,34.46,302902600
MRK,6/30/10,33.43,36.25,32.99,34.97,391069000
MRK,5/28/10,35.29,36.36,30.7,33.69,447318800
MRK,4/30/10,37.64,37.97,33.54,35.04,393998200
MRK,3/31/10,37.03,39.04,36.1,37.35,328490900
MRK,2/26/10,38.56,39.72,35.76,36.88,304944300
MRK,1/29/10,36.82,41.56,36.55,38.18,321365000
MRK,12/31/09,36.29,38.42,36.1,36.54,297669900
MRK,11/30/09,31.12,36.9592,30.29,36.21,471939000
MRK,10/30/09,31.74,34.18,30.83,30.93,470937400
MRK,9/30/09,32.29,32.93,29.94,31.63,330974900
MRK,8/31/09,30.45,33.05,28.69,32.43,303758400
MRK,7/31/09,28.1,31.18,25.0512,30.01,420149600
MRK,6/30/09,27.71,28.05,24.37,27.96,449657600
MRK,5/29/09,24.23,27.61,23.81,27.58,411954300
MRK,4/30/09,26.49,27.6,22.33,24.24,439428700
MRK,3/31/09,23.76,28.12,20.05,26.75,583899600
MRK,2/27/09,28.09,30.93,24.17,24.2,302360100
